No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
29,tbba001g.ＰＡＬ管理ＮＯ,ＰＡＬ管理ＮＯ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ＰＡＬ管理ＮＯ）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ＰＡＬ管理ＮＯ」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ＰＡＬ管理ＮＯを識別するコード/番号情報
30,tbba001g.管理ＮＯ,管理ＮＯ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.管理ＮＯ）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.管理ＮＯ」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,管理ＮＯを識別するコード/番号情報
31,tbba001g.予約ＮＯ,予約ＮＯ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.予約ＮＯ）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.予約ＮＯ」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,予約ＮＯを識別するコード/番号情報
32,tbba001g.受注台数,受注台数,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.受注台数）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.受注台数」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,受注台数に関する項目
33,tbba001g.ゾーンコード,ゾーンコード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ゾーンコード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ゾーンコード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ゾーンコードを識別するコード/番号情報
34,tbba001g.店舗コード,店舗コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.店舗コード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.店舗コード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,店舗コードを識別するコード/番号情報
35,tbba001g.課コード,課コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.課コード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.課コード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,課コードを識別するコード/番号情報
36,tbba001g.係コード,係コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.係コード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.係コード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,係コードを識別するコード/番号情報
37,tbba001g.予約区分,予約区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.予約区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.予約区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,予約区分を表す区分/フラグ情報
38,tbba001g.販売スタッフコード,販売スタッフコード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.販売スタッフコード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.販売スタッフコード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,販売スタッフコードを識別するコード/番号情報
39,tbba001g.販売店型式,販売店型式,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.販売店型式）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.販売店型式」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,販売店型式に関する項目
40,tbba001g.新旧世代,新旧世代,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.新旧世代）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.新旧世代」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,新旧世代に関する項目
41,tbba001g.車台番号,車台番号,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.車台番号）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.車台番号」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,車台番号を識別するコード/番号情報
42,tbba001g.指定類別番号,指定類別番号,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.指定類別番号）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.指定類別番号」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,指定類別番号を識別するコード/番号情報
43,tbba001g.外鈑色,外鈑色,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.外鈑色）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.外鈑色」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,外鈑色に関する項目
44,tbba001g.色パディング,色パディング,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.色パディング）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.色パディング」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,色パディングに関する項目
45,tbba001g.内張コード,内張コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.内張コード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.内張コード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,内張コードを識別するコード/番号情報
46,tbba001g.タイヤコード,タイヤコード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.タイヤコード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.タイヤコード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,タイヤコードを識別するコード/番号情報
47,tbba001g.タイヤコメント,タイヤコメント,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.タイヤコメント）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.タイヤコメント」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,タイヤコメントに関する項目
48,tbba001g.メーカーＯＰＴ１,メーカーＯＰＴ１,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ１）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ１」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ１に関する項目
49,tbba001g.メーカーＯＰＴ２,メーカーＯＰＴ２,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ２）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ２」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ２に関する項目
50,tbba001g.メーカーＯＰＴ３,メーカーＯＰＴ３,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ３）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ３」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ３に関する項目
51,tbba001g.メーカーＯＰＴ４,メーカーＯＰＴ４,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ４）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ４」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ４に関する項目
52,tbba001g.メーカーＯＰＴ５,メーカーＯＰＴ５,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ５）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ５」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ５に関する項目
53,tbba001g.メーカーＯＰＴ６,メーカーＯＰＴ６,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ６）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ６」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ６に関する項目
54,tbba001g.メーカーＯＰＴ７,メーカーＯＰＴ７,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ７）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ７」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ７に関する項目
55,tbba001g.メーカーＯＰＴ８,メーカーＯＰＴ８,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ８）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ８」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ８に関する項目
56,tbba001g.メーカーＯＰＴ９,メーカーＯＰＴ９,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ９）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ９」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ９に関する項目
57,tbba001g.メーカーＯＰＴ１０,メーカーＯＰＴ１０,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ１０）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ１０」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ１０に関する項目
58,tbba001g.メーカーＯＰＴ１１,メーカーＯＰＴ１１,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ１１）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ１１」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ１１に関する項目
59,tbba001g.メーカーＯＰＴ１２,メーカーＯＰＴ１２,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ１２）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ１２」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ１２に関する項目
60,tbba001g.メーカーＯＰＴ１３,メーカーＯＰＴ１３,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ１３）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ１３」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ１３に関する項目
61,tbba001g.メーカーＯＰＴ１４,メーカーＯＰＴ１４,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ１４）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ１４」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ１４に関する項目
62,tbba001g.メーカーＯＰＴ１５,メーカーＯＰＴ１５,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ１５）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ１５」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ１５に関する項目
63,tbba001g.メーカーＯＰＴ１６,メーカーＯＰＴ１６,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.メーカーＯＰＴ１６）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.メーカーＯＰＴ１６」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,メーカーＯＰＴ１６に関する項目
64,tbba001g.払出区分,払出区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.払出区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.払出区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,払出区分を表す区分/フラグ情報
65,tbba001g.用途区分,用途区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.用途区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.用途区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,用途区分を表す区分/フラグ情報
66,tbba001g.登録区分,登録区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.登録区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.登録区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,登録区分を表す区分/フラグ情報
67,tbba001g.減免区分,減免区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.減免区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.減免区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,減免区分を表す区分/フラグ情報
68,tbba001g.受注進捗区分,受注進捗区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.受注進捗区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.受注進捗区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,受注進捗区分を表す区分/フラグ情報
69,tbba001g.登録可否区分,登録可否区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.登録可否区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.登録可否区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,登録可否区分を表す区分/フラグ情報
70,tbba001g.自賠営業用区分,自賠営業用区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.自賠営業用区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.自賠営業用区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,自賠営業用区分を表す区分/フラグ情報
71,tbba001g.抽選希望ＮＯ,抽選希望ＮＯ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.抽選希望ＮＯ）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.抽選希望ＮＯ」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,抽選希望ＮＯを識別するコード/番号情報
72,tbba001g.一般希望ＮＯ,一般希望ＮＯ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.一般希望ＮＯ）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.一般希望ＮＯ」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,一般希望ＮＯを識別するコード/番号情報
73,tbba001g.字光式,字光式,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.字光式）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.字光式」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,字光式に関する項目
74,tbba001g.納車場所,納車場所,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.納車場所）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.納車場所」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,納車場所に関する項目
75,tbba001g.車両手配依頼,車両手配依頼,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.車両手配依頼）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.車両手配依頼」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,車両手配依頼に関する項目
76,tbba001g.車両手配依頼日,車両手配依頼日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.車両手配依頼日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.車両手配依頼日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,車両手配依頼日に関する日付/年月情報
77,tbba001g.買主業者コード,買主業者コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.買主業者コード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.買主業者コード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,買主業者コードを識別するコード/番号情報
78,tbba001g.業者名寄せ区分,業者名寄せ区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.業者名寄せ区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.業者名寄せ区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,業者名寄せ区分を表す区分/フラグ情報
79,tbba001g.買主名漢字１,買主名漢字１,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.買主名漢字１）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.買主名漢字１」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,買主名漢字１の名称・文字列情報
80,tbba001g.買主名漢字２,買主名漢字２,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.買主名漢字２）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.買主名漢字２」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,買主名漢字２の名称・文字列情報
81,tbba001g.名義人名漢字１,名義人名漢字１,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.名義人名漢字１）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.名義人名漢字１」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,名義人名漢字１の名称・文字列情報
82,tbba001g.名義人名漢字２,名義人名漢字２,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.名義人名漢字２）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.名義人名漢字２」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,名義人名漢字２の名称・文字列情報
83,tbba001g.買主名義人関係,買主名義人関係,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.買主名義人関係）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.買主名義人関係」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,買主名義人関係の名称・文字列情報
84,tbba001g.使用本拠地,使用本拠地,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.使用本拠地）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.使用本拠地」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,使用本拠地に関する項目
85,tbba001g.使用本拠地小字,使用本拠地小字,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.使用本拠地小字）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.使用本拠地小字」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,使用本拠地小字に関する項目
86,tbba001g.使用本拠地名,使用本拠地名,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.使用本拠地名）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.使用本拠地名」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,使用本拠地名の名称・文字列情報
87,tbba001g.所有権留保区分,所有権留保区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.所有権留保区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.所有権留保区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,所有権留保区分を表す区分/フラグ情報
88,tbba001g.多降雪控除区分,多降雪控除区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.多降雪控除区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.多降雪控除区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,多降雪控除区分を表す区分/フラグ情報
89,tbba001g.離島自賠責区分,離島自賠責区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.離島自賠責区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.離島自賠責区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,離島自賠責区分を表す区分/フラグ情報
90,tbba001g.注文メモ１,注文メモ１,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.注文メモ１）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.注文メモ１」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,注文メモ１の名称・文字列情報
