No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
14,su_accessday_w4,第4週アクセス日数,BIGINT,有,なし,なし,なし,uslim_ve.DM_USER_KPI_ACCESS_TMP,SU_ACCESS,"NVL(COUNTSET(T_ACCESS.SU_ACCESS & 8), 0) を設定",SU_ACCESSのビット情報から第4週のアクセス日数を算出。COUNTSETの正確な内部仕様はSQL内に定義がないため断定不可。
15,su_accessday_w5,第5週アクセス日数,BIGINT,有,なし,なし,なし,uslim_ve.DM_USER_KPI_ACCESS_TMP,SU_ACCESS,"NVL(COUNTSET(T_ACCESS.SU_ACCESS & 16), 0) を設定",SU_ACCESSのビット情報から第5週のアクセス日数を算出。COUNTSETの正確な内部仕様はSQL内に定義がないため断定不可。
16,su_monyote,月予定数,BIGINT,有,なし,なし,なし,uslim_ve.DM_USER_KPI_YOTE_TMP,SU_MONYOTE,"T_ACCESS.CD_USER = T_YOTE.MJ_SAKUSEIMAIL で結合し、NVL(T_YOTE.SU_MONYOTE, 0) を設定",ユーザー単位の月予定数。NULLは0として扱う。
17,su_uslim_monjucyu,USLIM月受注数,BIGINT,有,なし,なし,なし,uslim_ve.DM_USER_KPI_USLIM_TMP,SU_USLIM_MONJUCYU,"販社/会社/社員コードで結合し、NVL(T_USLIM_JUCYU.SU_USLIM_MONJUCYU, 0) を設定",USLIM側の月受注数。NULLは0として扱う。
18,su_uslim_monsiirelt,USLIM月仕入関連件数,BIGINT,有,なし,なし,なし,uslim_ve.DM_USER_KPI_USLIM_TMP,SU_USLIM_MONSIIRELT,"販社/会社/社員コードで結合し、NVL(T_USLIM_JUCYU.SU_USLIM_MONSIIRELT, 0) を設定",USLIM側の月仕入関連件数。NULLは0として扱う。
19,nu_uslim_monsiirelt,USLIM月仕入関連数値,BIGINT,有,なし,なし,なし,uslim_ve.DM_USER_KPI_USLIM_TMP,NU_USLIM_MONSIIRELT,"販社/会社/社員コードで結合し、NVL(T_USLIM_JUCYU.NU_USLIM_MONSIIRELT, 0) を設定",USLIM側の月仕入関連数値。nu_系の業務単位はDDL/SQLのみでは断定不可。
20,su_monjucyu,月受注数,BIGINT,有,なし,なし,なし,uslim_ve.DM_USER_KPI_USLIM_TMP; uslim_ve.DM_USER_KPI_REG_TMP,SU_USLIM_MONJUCYU; SU_REG_MONJUCYU,"NVL(T_USLIM_JUCYU.SU_USLIM_MONJUCYU, 0) + NVL(T_REG_JUCYU.SU_REG_MONJUCYU, 0) で算出",USLIM側とREG側を合算した月受注数。
21,su_monsiirelt,月仕入関連件数,BIGINT,有,なし,なし,なし,uslim_ve.DM_USER_KPI_USLIM_TMP; uslim_ve.DM_USER_KPI_REG_TMP,SU_USLIM_MONSIIRELT; SU_REG_MONSIIRELT,"NVL(T_USLIM_JUCYU.SU_USLIM_MONSIIRELT, 0) + NVL(T_REG_JUCYU.SU_REG_MONSIIRELT, 0) で算出",USLIM側とREG側を合算した月仕入関連件数。
22,nu_monsiirelt,月仕入関連数値,BIGINT,有,なし,なし,なし,uslim_ve.DM_USER_KPI_USLIM_TMP; uslim_ve.DM_USER_KPI_REG_TMP,NU_USLIM_MONSIIRELT; NU_REG_MONSIIRELT,"NVL(T_USLIM_JUCYU.NU_USLIM_MONSIIRELT, 0) + NVL(T_REG_JUCYU.NU_REG_MONSIIRELT, 0) で算出",USLIM側とREG側を合算した月仕入関連数値。nu_系の業務単位はDDL/SQLのみでは断定不可。
23,mart_created_at,マート作成日時,STRING,無,なし,なし,CURRENT_TIMESTAMP,システム日時,NOW(),INSERT時にNOW()を設定。DDL上はDEFAULT CURRENT_TIMESTAMPだが、SQLでは明示的にNOW()を投入,データマートへの登録日時。Impala向けにTIMESTAMPはSTRINGとして扱う前提。
