優先度,テーブル名,論理名,主な役割,候補理由,主なキー,利益との関係,現時点の判断,推奨履歴方式,主な確認先,次の確認
B：利益根拠,TBFA008G,受注明細ＤＢ,サービス受注明細／整備/部品原価,整備・部品の明細と原価を持つ,NO_JUCYU・CD_HANSYA・CD_KAISYA,整備・部品原価の内訳,利益内訳が必要なら採用,追記＋取消/訂正版,サービス・整備業務担当・帳票担当・インフラ,整備売上・原価の正式参照先を確認
B：利益根拠,TBFB012G,部品実績DB,部品実績,部品実績・原価・整備コードを持つ,NO_JUCYU・NO_SAGJYUCY・NO_TOUROKU,部品原価の実績,利益内訳が必要なら採用,追記＋取消/訂正版,サービス・整備業務担当・帳票担当・インフラ,整備売上・原価の正式参照先を確認
B：利益根拠,TBFG001G,売上受注ＤＢ,サービス売上／請求／預り金,整備売上・請求・値引を持つ,NO_JUCYU・NO_SYARYOU・LOGIC_PK,整備売上・値引,利益内訳が必要なら採用,追記＋取消/訂正版,サービス・整備業務担当・帳票担当・インフラ,整備売上・原価の正式参照先を確認
B：利益根拠,TBFL001G,集計累積DB,サービス売上／原価集計,工賃・部品・外注の売価と原価を持つ,NO_JUCYU・NO_SAGJYUCY・NO_TOUROKU,整備利益の正式値候補,利益内訳が必要なら採用,利益結果＋根拠明細,サービス・整備業務担当・帳票担当・インフラ,整備売上・原価の正式参照先を確認
D：第2段階,TBAZ030M,メンテパック契約DB,メンテナンスパック契約管理,メンテパックの契約情報を持つ,NO_CYUMON・NO_SEIJYUCY・CD_NORIKUSI,継続収益の契約候補,第1段階では保留,最新＋契約履歴,サービス・整備業務担当・帳票担当・インフラ,契約と利用の計上ルールを確認
D：第2段階,TBAZ031M,メンテパック明細ＤＢ,メンテナンスパック利用明細,メンテパックの利用実績を持つ,CD_NORIKUSI・KB_NOSYASYU・CD_HANSYA,継続収益の利用実績,第1段階では保留,追記＋取消/訂正版,サービス・整備業務担当・帳票担当・インフラ,契約と利用の計上ルールを確認
D：第2段階,TBSA002G,ストール予約履歴ＤＢ,サービス予約履歴,予約状態・取消・入庫予定を持つ,NO_SAGJUCYU・CD_NORIKUSI・KB_NOSYASYU,直接なし（予約分析）,第1段階では保留,追記＋取消/訂正版,サービス・整備業務担当・帳票担当・インフラ,第2段階の対象にするか確認
D：第2段階,TBSA006G,ストール予約明細履歴ＤＢ,サービス予約明細履歴,予約明細と入庫実績を持つ,CD_HANSYA・CD_KAISYA,直接なし（予約分析）,第1段階では保留,追記＋取消/訂正版,サービス・整備業務担当・帳票担当・インフラ,第2段階の対象にするか確認
D：第2段階,TBSA009G,ストール実績ＤＢ,ストール実績,ストールの利用実績を持つ,CD_HANSYA・CD_KAISYA,直接なし（稼働分析）,第1段階では保留,追記＋取消/訂正版,サービス・整備業務担当・帳票担当・インフラ,第2段階の対象にするか確認
D：第2段階,TBSA013G,エンジニア作業明細ＤＢ,エンジニア作業実績,作業開始・終了・作業時間を持つ,CD_HANSYA・CD_KAISYA,直接なし（作業分析）,第1段階では保留,追記＋取消/訂正版,サービス・整備業務担当・帳票担当・インフラ,第2段階の対象にするか確認
A：最優先,TBBC001G,中古車在庫基本情報DB,U-Car仕入／在庫／販売／処分管理,U-Carの仕入・在庫・販売・処分を持つ,NO_SIRETYUM・NO_SATEI・NO_SYARYOU,U-Car仕入・原価・販売の基準,優先して業務・実データ確認,最新＋状態履歴,U-Car担当・帳票担当・インフラ,車両接続・仕入・加修・価格変更を確認
B：利益根拠,TBBC003G,仕入予定基本情報ＤＢ,U-Car仕入予定／予定価格,U-Carの仕入予定・予定価格を持つ,NO_SIRETYUM・NO_SATEI・NO_SYARYOU,仕入予定と実績差の分析,利益内訳が必要なら採用,追記＋取消/訂正版,U-Car担当・帳票担当・インフラ,車両接続・仕入・加修・価格変更を確認
B：利益根拠,TBBC005G,加修実績明細ＤＢ,U-Car加修実績原価,U-Car加修の実績原価を持つ,NO_SYARYOU・CD_HANSYA・CD_KAISYA,U-Car加修原価,利益内訳が必要なら採用,追記＋取消/訂正版,U-Car担当・帳票担当・インフラ,車両接続・仕入・加修・価格変更を確認
C：詳細分析,TBBC011G,加修依頼管理ＤＢ,U-Car加修依頼管理,U-Car加修の依頼状態を持つ,NO_SYARYOU・CD_HANSYA・CD_KAISYA,直接なし（加修工程）,詳細分析の要否で判断,追記＋取消/訂正版,U-Car担当・帳票担当・インフラ,車両接続・仕入・加修・価格変更を確認
C：詳細分析,TBBC012G,加修依頼明細ＤＢ,U-Car加修依頼明細,U-Car加修の依頼明細を持つ,NO_SYARYOU・CD_HANSYA・CD_KAISYA,直接なし（加修工程）,詳細分析の要否で判断,追記＋取消/訂正版,U-Car担当・帳票担当・インフラ,車両接続・仕入・加修・価格変更を確認
B：利益根拠,TBBC019G,中古車受注加修ＤＢ,U-Car受注時加修,U-Car販売時の加修売価・見積を持つ,NO_CYUMON・NO_CYUMONED・CD_HANSYA,U-Car加修売価・見積,利益内訳が必要なら採用,追記＋取消/訂正版,U-Car担当・帳票担当・インフラ,車両接続・仕入・加修・価格変更を確認
C：詳細分析,TBBC096G,在庫価格変更履歴DB,U-Car在庫価格変更履歴,在庫価格の変更前後を持つ,NO_SYARYOU・CD_HANSYA・CD_KAISYA,値下げと最終利益の分析,詳細分析の要否で判断,追記＋取消/訂正版,U-Car担当・帳票担当・インフラ,車両接続・仕入・加修・価格変更を確認
A：最優先,TBBC017G,中古車受注基本情報DB,U-Car受注／登録／売上／納車管理,U-Car受注から売上・納車・取消まで持つ,NO_CYUMON・NO_CYUMONED・NO_SYARYOU,U-Car利益の受注・売上基準,優先して業務・実データ確認,最新＋状態履歴,U-Car担当・帳票担当・インフラ,受注キー・状態・取消を確認
B：利益根拠,TBBC020G,中古車受注販売条件情報DB,U-Car販売条件／価格／原価,U-Car価格・値引・原価・費用を持つ,NO_CYUMON・NO_CYUMONED・CD_HANSYA,U-Car利益の主な計算根拠,利益内訳が必要なら採用,変更時のみ履歴,U-Car担当・帳票担当・インフラ,利益計算への使用有無と変更頻度を確認
B：利益根拠,TBBC031G,中古車受注任意諸費用情報Ｄ,U-Car任意諸費用,U-Carの任意諸費用と原価を持つ,NO_CYUMON・NO_CYUMONED・CD_HANSYA,U-Car利益の諸費用内訳,利益内訳が必要なら採用,変更時のみ履歴,U-Car担当・帳票担当・インフラ,利益計算への使用有無と変更頻度を確認
B：利益根拠,TBBC032G,中古車受注任意預り金情報ＤＢ,U-Car任意預り金,U-Carの任意預り金を持つ,NO_CYUMON・NO_CYUMONED・CD_HANSYA,預り金（利益外の可能性）,利益内訳が必要なら採用,変更時のみ履歴,U-Car担当・帳票担当・インフラ,利益計算への使用有無と変更頻度を確認
B：利益根拠,TBBC033G,中古車受注割賦情報ＤＢ,U-Car割賦情報,U-Carの割賦元金・手数料を持つ,NO_CYUMON・NO_CYUMONED・CD_HANSYA,割賦収益の計算根拠,利益内訳が必要なら採用,変更時のみ履歴,U-Car担当・帳票担当・インフラ,利益計算への使用有無と変更頻度を確認
A：最優先,TBBG100G,中古車受注分析ＤＢ,U-Car受注／利益分析,U-Carの車両別利益・在庫日数を持つ,NO_CYUMON・NO_SYARYOU・CD_HANSYA,U-Car利益の正式値候補,優先して業務・実データ確認,利益結果＋根拠明細,U-Car担当・帳票担当・インフラ,粒度・正式利益・取消反映を比較
A：最優先,TBBC102G,ＵＣＡＲ販売実績分析ＤＢ,U-Car販売実績／総利益分析,U-Car販売実績・総利益を持つ,NO_CYUMON・NO_CYUMONED・NO_SYARYOU,U-Car利益の正式値候補,優先して業務・実データ確認,利益結果＋根拠明細,U-Car担当・帳票担当・インフラ,粒度・正式利益・取消反映を比較
B：正式値比較,TBG8047W,中古車売上明細ＤＢ,U-Car売上明細,U-Carの売上・原価明細を持つ,NO_CYUMON・NO_SYARYOU・NO_TOUROKU,U-Car利益の明細確認,正式値・用途を比較,利益結果＋根拠明細,U-Car担当・帳票担当・インフラ,粒度・正式利益・取消反映を比較
B：正式値比較,TBBG117G,中古車総合収益ＤＢ,U-Car総合収益（月次／スタッフ等の集計）,U-Car収益を月次・担当者単位で持つ,CD_HANSYA・CD_KAISYA,U-Car利益の集計確認,正式値・用途を比較,利益結果＋根拠明細,U-Car担当・帳票担当・インフラ,粒度・正式利益・取消反映を比較
B：正式値比較,TBG8006M,中古車小売売上トランＤＢ,U-Car小売売上トランザクション,U-Car売上と修正前後の情報を持つ,NO_CYUMON・NO_SYARYOU・NO_TOUROKU,U-Car売上・訂正確認,正式値・用途を比較,利益結果＋根拠明細,U-Car担当・帳票担当・インフラ,粒度・正式利益・取消反映を比較
A：既存履歴確認,TBBA085G,抹消済新車受注基本情報DB,新車系の既存抹消済/保存用データ（抹消済新車受注基本情報DB）,現行表から消えた過去データを持つ可能性,NO_CYUMON・NO_CYUMONED・NO_SYADAIBA,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,インフラ・セキグチさん,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBA092G,抹消済新車受注追工DB,新車系の既存抹消済/保存用データ（抹消済新車受注追工DB）,現行表から消えた過去データを持つ可能性,NO_CYUMON・NO_CYUMONED・CD_HANSYA,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,インフラ・セキグチさん,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBA093G,抹消済新車販売条件情報DB,新車系の既存抹消済/保存用データ（抹消済新車販売条件情報DB）,現行表から消えた過去データを持つ可能性,NO_CYUMON・NO_CYUMONED・CD_HANSYA,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,インフラ・セキグチさん,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBA095G,抹消済受注下取ＤＢ,新車系の既存抹消済/保存用データ（抹消済受注下取ＤＢ）,現行表から消えた過去データを持つ可能性,NO_CYUMON・NO_CYUMONED・CD_NORIKUSI,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,インフラ・セキグチさん,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBA099G,抹消済登録DB,新車系の既存抹消済/保存用データ（抹消済登録DB）,現行表から消えた過去データを持つ可能性,NO_CYUMON・NO_CYUMONED・NO_SYARYOU,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,インフラ・セキグチさん,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBA105G,抹消済新車車両情報DB,新車系の既存抹消済/保存用データ（抹消済新車車両情報DB）,現行表から消えた過去データを持つ可能性,NO_CYUMON・NO_CYUMONED・NO_FRAME,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,インフラ・セキグチさん,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBA108G,保存用新車受注基本情報ＤＢ,新車系の既存抹消済/保存用データ（保存用新車受注基本情報ＤＢ）,現行表から消えた過去データを持つ可能性,NO_CYUMON・NO_CYUMONED・NO_SYADAIBA,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,インフラ・セキグチさん,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBA117G,保存用受注下取ＤＢ,新車系の既存抹消済/保存用データ（保存用受注下取ＤＢ）,現行表から消えた過去データを持つ可能性,NO_CYUMON・NO_CYUMONED・CD_NORIKUSI,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,インフラ・セキグチさん,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBA130G,保存用新車受注顧客情報ＤＢ,新車系の既存抹消済/保存用データ（保存用新車受注顧客情報ＤＢ）,現行表から消えた過去データを持つ可能性,NO_CYUMON・NO_CYUMONED・CD_HANSYA,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,インフラ・セキグチさん,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBC040G,抹消済中古車受注基本情報ＤＢ,U-Car系の既存抹消済/保存用データ（抹消済中古車受注基本情報ＤＢ）,現行表から消えた過去データを持つ可能性,NO_CYUMON・NO_CYUMONED・NO_SYARYOU,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,U-Car担当・インフラ,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBC050G,抹消済中古車在庫基本情報ＤＢ,U-Car系の既存抹消済/保存用データ（抹消済中古車在庫基本情報ＤＢ）,現行表から消えた過去データを持つ可能性,NO_SIRETYUM・NO_SATEI・NO_SYARYOU,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,U-Car担当・インフラ,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBC052G,抹消済中古車在庫登録情報ＤＢ,U-Car系の既存抹消済/保存用データ（抹消済中古車在庫登録情報ＤＢ）,現行表から消えた過去データを持つ可能性,NO_SYARYOU・CD_HANSYA・CD_KAISYA,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,U-Car担当・インフラ,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBC064G,保存用中古車在庫登録情報ＤＢ,U-Car系の既存抹消済/保存用データ（保存用中古車在庫登録情報ＤＢ）,現行表から消えた過去データを持つ可能性,NO_SYARYOU・CD_HANSYA・CD_KAISYA,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,U-Car担当・インフラ,移送条件・保存期間・現行表との差を確認
A：既存履歴確認,TBBC065G,保存用中古車在庫基本情報ＤＢ,U-Car系の既存抹消済/保存用データ（保存用中古車在庫基本情報ＤＢ）,現行表から消えた過去データを持つ可能性,NO_SIRETYUM・NO_SATEI・NO_SYARYOU,過去データ確認,新規作成前に既存保存を確認,既存保存を先に評価,U-Car担当・インフラ,移送条件・保存期間・現行表との差を確認
