テーブル名,論理名,業務用途,工程,候補根拠,主要キー,車両接続キー,受注接続キー,金額項目,帳票利用,必要性,正式値か,更新方式,削除方式,訂正方式,保持期間,推奨履歴方式,Power BI提供方法,確定度,確認担当者,次の作業
TBNH001G,査定基本情報ＤＢ,査定基本情報,査定→下取り/買取,主要関連カラム: NO_STI（査定ＮＯ） / MJ_STIHZSM（査定情報保存済フラグ） / KB_NWSTIKT（現在査定工程区分） / KB_STIJT（査定状態区分） / NO_SYARYOU（車両ＮＯ） / NO_SYADAI（車台番号） / NO_FRAME（フレームＮＯ） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / DT_KOSIN（データ更新日時） / CD_KSNSYA（更新ユーザＩＤ） / CD_KSNAPP（更新アプリＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_HANBAITN（販売店コード） / NO_STI（査定ＮＯ） / MJ_STIHZSM（査定情報保存済フラグ）,NO_SYARYOU（車両ＮＯ） / NO_SYADAI（車台番号） / NO_FRAME（フレームＮＯ）,NO_STI（査定ＮＯ） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,NO_STI（査定ＮＯ） / MJ_STIHZSM（査定情報保存済フラグ） / KB_NWSTIKT（現在査定工程区分） / KB_STIJT（査定状態区分）,未確認（Power BI・既存帳票の参照有無を確認）,査定・価格変更・詳細分析を行う場合の候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋査定/下取り担当＋AI21/インフラ担当,査定の正式価格・工程を確認。Hueで査定NOの一意性、工程間接続率、価格差、注文/車両接続率を確認
TBNH013G,査定入庫査定価格ＤＢ,入庫時査定価格,査定→入庫査定,主要関連カラム: NO_STI（査定ＮＯ） / MJ_STIHZSM（査定情報保存済フラグ） / KB_STIKT（査定工程区分） / KB_URIAGE（売上区分） / KB_NCYOSTK（入庫査定用調整額取得元区分） / KI_NTCYO1（入庫査定用店舗査定調整額１） / KI_NTCYO2（入庫査定用店舗査定調整額２） / KI_NTCYO3（入庫査定用店舗査定調整額３） / KI_NTCYO4（入庫査定用店舗査定調整額４） / KI_NTCYO5（入庫査定用店舗査定調整額５） / KI_NTSTIK（入庫査定用店舗査定価格） / KI_STIGS（査定誤差額） ほか5項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_HANBAITN（販売店コード） / NO_STI（査定ＮＯ） / MJ_STIHZSM（査定情報保存済フラグ） / KB_STIKT（査定工程区分）,該当カラム未確認,NO_STI（査定ＮＯ）,NO_STI（査定ＮＯ） / MJ_STIHZSM（査定情報保存済フラグ） / KB_STIKT（査定工程区分） / KB_URIAGE（売上区分） / KB_NCYOSTK（入庫査定用調整額取得元区分） / KI_NTCYO1（入庫査定用店舗査定調整額１） / KI_NTCYO2（入庫査定用店舗査定調整額２） / KI_NTCYO3（入庫査定用店舗査定調整額３） / KI_NTCYO4（入庫査定用店舗査定調整額４） / KI_NTCYO5（入庫査定用店舗査定調整額５） / KI_NTSTIK（入庫査定用店舗査定価格） / KI_STIGS（査定誤差額） ほか2項目,未確認（Power BI・既存帳票の参照有無を確認）,査定・価格変更・詳細分析を行う場合の候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋査定/下取り担当＋AI21/インフラ担当,査定の正式価格・工程を確認。Hueで査定NOの一意性、工程間接続率、価格差、注文/車両接続率を確認
TBNH021G,査定値付結果ＤＢ,最終値付結果,査定→最終値付,主要関連カラム: NO_STI（査定ＮＯ） / MJ_STIHZSM（査定情報保存済フラグ） / KB_STIKT（査定工程区分） / KI_NESITA（値付下取価格） / KI_NEKIT（値付買取価格） / KB_URIAGE（売上区分） / KI_SITATCYO（下取用うち提示価格調整額） / KI_KAITTCYO（買取用うち提示価格調整額） / DT_KOSIN（データ更新日時） / CD_KSNSYA（更新ユーザＩＤ） / CD_KSNAPP（更新アプリＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_HANBAITN（販売店コード） / NO_STI（査定ＮＯ） / MJ_STIHZSM（査定情報保存済フラグ） / KB_STIKT（査定工程区分）,該当カラム未確認,NO_STI（査定ＮＯ）,NO_STI（査定ＮＯ） / MJ_STIHZSM（査定情報保存済フラグ） / KB_STIKT（査定工程区分） / KI_NESITA（値付下取価格） / KI_NEKIT（値付買取価格） / KB_URIAGE（売上区分） / KI_SITATCYO（下取用うち提示価格調整額） / KI_KAITTCYO（買取用うち提示価格調整額）,未確認（Power BI・既存帳票の参照有無を確認）,査定・価格変更・詳細分析を行う場合の候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋査定/下取り担当＋AI21/インフラ担当,査定の正式価格・工程を確認。Hueで査定NOの一意性、工程間接続率、価格差、注文/車両接続率を確認
TBAZ032M,入庫歴ＤＢ,サービス入庫・精算履歴,入庫・整備・車検,主要関連カラム: NO_JUCYU（受注ＮＯ） / MJ_FRAMEKAT（フレーム型式） / NO_FRAME（フレームＮＯ） / NO_DUOSYADA（ＤＵＯ車台番号） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / KB_SVNYUKO（サービス入庫区分） / KB_SVNYUKOD（サービス入庫区分詳細） / DT_KOSIN（更新日時） / MJ_JUCYUMEM（受注メモ） ほか3項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_JUCYU（受注ＮＯ） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号）,NO_FRAME（フレームＮＯ） / NO_DUOSYADA（ＤＵＯ車台番号） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号）,NO_JUCYU（受注ＮＯ）,KI_URIAGEKI（売上金額） / KI_NEBIKIGA（値引額）,未確認（Power BI・既存帳票の参照有無を確認）,最優先候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,整備売上/原価の正式参照先を確認。Hueで受注NO接続率、車両キー充足率、売上・原価整合、取消/再精算を確認
TBAZ034M,整備歴ＤＢ,整備内容履歴,入庫・整備・車検,主要関連カラム: NO_JUCYU（受注ＮＯ） / CD_SEIBI（整備コード） / KJ_SEIBIMEI（整備名称） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_JUCYU（受注ＮＯ） / MJ_SIKIBETU（識別番号） / NO_OYABANGO（親番号） / MJ_NARABIJY（並び順） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号）,CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号）,NO_JUCYU（受注ＮＯ）,該当カラム未確認,未確認（Power BI・既存帳票の参照有無を確認）,最優先候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,整備売上/原価の正式参照先を確認。Hueで受注NO接続率、車両キー充足率、売上・原価整合、取消/再精算を確認
TBFA001G,受注ＤＢ,サービス受注ヘッダ,入庫→サービス受注,主要関連カラム: NO_JUCYU（受注ＮＯ） / DD_JUCYU（受注日） / KB_NYUUKO（入庫区分） / KB_JCTORIKS（受注取消区分） / KB_JUTYU（受注区分） / KI_MITUKIN（見積金額） / KI_ZEIKOMIT（税込見積金額） / KI_TEIJIMIT（提示見積金額） / KI_TEIJINEB（提示値引金額） / KB_JCJYOUTA（受注状態区分） / KB_SYOSNYUK（詳細入庫区分） / KI_GENKAHR（原価ＨＲ） ほか24項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_TENPO（店舗コード） / NO_JUCYU（受注ＮＯ）,CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / NO_FRAME（フレームＮＯ） / NO_SYARYOU（車両ＮＯ） / KB_FRAMEER（フレームＮＯエラー区分）,NO_JUCYU（受注ＮＯ）,KI_MITUKIN（見積金額） / KI_ZEIKOMIT（税込見積金額） / KI_TEIJIMIT（提示見積金額） / KI_TEIJINEB（提示値引金額） / KB_GOYNEBIK（ご用命値引き区分） / KI_GENKAHR（原価ＨＲ） / KI_GASIREG1（外注仕入原価１） / KB_GAIGEKE1（外注原価計上区分１） / KI_GASIREG2（外注仕入原価２） / KB_GAIGEKE2（外注原価計上区分２） / KI_GASIREG3（外注仕入原価３） / KB_GAIGEKE3（外注原価計上区分３） ほか5項目,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分更新/上書き型の可能性（更新日時・日次比較で確認）,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,Current＋状態遷移履歴,Currentビュー＋状態遷移分析ビュー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,整備売上/原価の正式参照先を確認。Hueで受注NO接続率、車両キー充足率、売上・原価整合、取消/再精算を確認
TBFA008G,受注明細ＤＢ,サービス受注明細・整備/部品原価,整備・部品・外注明細,主要関連カラム: NO_JUCYU（受注ＮＯ） / KB_URIKAMO（売上科目区分） / KI_GENKA（原価） / CD_GASIRESA（外注仕入先コード） / KB_GAISIIRE（外注仕入区分） / KB_SIJSEGAI（ご用命指示整備外注区分） / KB_SIJBUGAI（ご用命指示部品外注区分） / CD_YOUMESEI（ご用命整備コード） / CD_URITROUB（ご用命売上トラブルコード） / KB_BUHINGT（整備指示部品外注区分） / CD_SEIBI（整備コード） / KB_SEIBKANR（整備管理区分） ほか44項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_TENPO（店舗コード） / NO_JUCYU（受注ＮＯ） / MJ_SIKIBETU（識別番号）,該当カラム未確認,NO_JUCYU（受注ＮＯ）,KB_URIKAMO（売上科目区分） / KI_GENKA（原価） / CD_URITROUB（ご用命売上トラブルコード） / KI_SEIKIJGN（整備基準原価） / MJ_SESYINJP（整備諸費用印字ＰＯ） / TA_BUHKIJGN（部品基準単価原価）,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,整備売上/原価の正式参照先を確認。Hueで受注NO接続率、車両キー充足率、売上・原価整合、取消/再精算を確認
TBFB012G,部品実績DB,部品実績,整備・部品実績,主要関連カラム: NO_JUCYU（受注ＮＯ） / NO_SAGJYUCY（作業受注ＮＯ） / KB_TANURI（単体売上区分） / KB_NYUUKO（入庫区分） / NO_TOUROKU（登録ＮＯ） / DD_SYODOTOR（初度登録日） / CD_SYAMAKER（車両メーカコード） / KI_GENKA（原価） / KB_ZAIKOUP（在庫更新区分） / CD_SEIBI（整備コード） / DD_SYSKOSIN（システム更新日）,LOGIC_PK（ロジカルプライマリキー） / CD_HANSYA（販社コード）,NO_TOUROKU（登録ＮＯ）,NO_JUCYU（受注ＮＯ） / NO_SAGJYUCY（作業受注ＮＯ）,KB_TANURI（単体売上区分） / KI_GENKA（原価）,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,整備売上/原価の正式参照先を確認。Hueで受注NO接続率、車両キー充足率、売上・原価整合、取消/再精算を確認
TBFG001G,売上受注ＤＢ,サービス売上・請求・預り金,整備売上・精算,主要関連カラム: NO_JUCYU（受注ＮＯ） / KI_MITUSESA（見積精算金額） / KI_TUISESAN（追加精算金額） / NO_SYARYOU（車両ＮＯ） / KI_SEIURIA1（請求先売上額１） / KI_SEIURIA2（請求先売上額２） / KI_SEIURIA3（請求先売上額３） / KI_SEIAZUK1（請求先預り金１） / KI_SEIAZUK2（請求先預り金２） / KI_SEIAZUK3（請求先預り金３） / KI_HOURIAG1（保険売上額１） / KI_HOURIAG2（保険売上額２） ほか20項目,LOGIC_PK（ロジカルプライマリキー） / CD_HANSYA（販社コード）,NO_SYARYOU（車両ＮＯ）,NO_JUCYU（受注ＮＯ）,KI_MITUSESA（見積精算金額） / KI_TUISESAN（追加精算金額） / KI_SYOTESU（諸手数料） / KI_D2NEBIKI（Ｄ２値引き） / KI_SETNEBIK（セット値引き） / KI_SEIURIA1（請求先売上額１） / KI_SEIURIA2（請求先売上額２） / KI_SEIURIA3（請求先売上額３） / KI_SEIAZUK1（請求先預り金１） / KI_SEIAZUK2（請求先預り金２） / KI_SEIAZUK3（請求先預り金３） / KI_HOURIAG1（保険売上額１） ほか16項目,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,整備売上/原価の正式参照先を確認。Hueで受注NO接続率、車両キー充足率、売上・原価整合、取消/再精算を確認
TBFL001G,集計累積DB,サービス売上・原価集計,整備売上・原価・利益,主要関連カラム: NO_JUCYU（受注ＮＯ） / KB_NYUUKO（入庫区分） / KB_SYOSNYUK（詳細入庫区分） / NO_SAGJYUCY（作業受注ＮＯ） / DD_URIAGE（売上日） / NO_TOUROKU（登録ＮＯ） / NO_FRAME（フレームＮＯ） / KI_KOUTINBK（工賃売価） / KI_KOUTINGN（工賃原価） / KI_BUHINBAI（部品売価） / KI_BUHINGEN（部品原価） / KI_YUSIGENK（油脂原価） ほか6項目,LOGIC_PK（ロジカルプライマリキー） / CD_HANSYA（販社コード）,NO_TOUROKU（登録ＮＯ） / NO_FRAME（フレームＮＯ） / NO_SYARYOU（車両ＮＯ）,NO_JUCYU（受注ＮＯ） / NO_SAGJYUCY（作業受注ＮＯ）,DD_URIAGE（売上日） / KI_KOUTINGN（工賃原価） / KI_BUHINGEN（部品原価） / KI_YUSIGENK（油脂原価） / KI_GAIGENKA（外注原価） / KI_AZUKAKIN（その他預り金）,未確認（利益・売上帳票/Power BIの参照候補）,利益の計算根拠まで残す場合の有力候補,未確認（正式な利益/売上値の候補。計上時点・原価基準・取消反映を確認）,差分追加・再計算・上書きの実態未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,計算済みスナップショット＋計算根拠明細の保持,車両/受注/店舗・月次の利益マート。正式値と参考値を分離,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,整備売上/原価の正式参照先を確認。Hueで受注NO接続率、車両キー充足率、売上・原価整合、取消/再精算を確認
TBAZ030M,メンテパック契約DB,メンテナンスパック契約管理,販売後・整備/継続収益,主要関連カラム: CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / KI_MNTAZUKA（メンテパック預り金） / DT_KOSIN（更新日時） / NO_CYUMON（注文ＮＯ） / NO_SEIJYUCY（請求中受注ＮＯ） / KI_TUISYZEI（追徴消費税金額） / MJ_PRCSEIBI（プロＣ整備フラグ） / MJ_CCCMPREN（ＣＣＣＭＰ連携状態）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_OKYAKU（お客様コード） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号）,CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号）,NO_CYUMON（注文ＮＯ） / NO_SEIJYUCY（請求中受注ＮＯ）,KI_MNTAZUKA（メンテパック預り金） / KI_TUISYZEI（追徴消費税金額）,未確認（Power BI・既存帳票の参照有無を確認）,第2段階候補（対象範囲次第）,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,Current＋契約状態履歴,第2段階の業務効率/継続収益マート,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,契約/利用の会計ルールを確認。Hueで車両・注文接続率、契約/利用重複、期間・金額整合を確認
TBAZ031M,メンテパック明細ＤＢ,メンテナンスパック利用明細,販売後・整備/継続収益,主要関連カラム: CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / KI_RIYOKING（利用金額） / DT_KOSIN（更新日時）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_OKYAKU（お客様コード） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / NO_TABLE（テーブルＮＯ）,CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号）,該当カラム未確認,KI_RIYOKING（利用金額）,未確認（Power BI・既存帳票の参照有無を確認）,第2段階候補（対象範囲次第）,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,第2段階の業務効率/継続収益マート,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,契約/利用の会計ルールを確認。Hueで車両・注文接続率、契約/利用重複、期間・金額整合を確認
TBSA002G,ストール予約履歴ＤＢ,サービス予約履歴,予約→入庫,主要関連カラム: KB_NOUSYA（納車区分） / KB_HSYOURI（保証売上区分） / KB_JCJYOUTA（受注状態区分） / DT_NYUUKOYT（入庫予定日時） / NO_SAGJUCYU（作業側受注ＮＯ） / NO_AIJUTYU（ＡＩ受注番号） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / KB_IVTSBURA（イベント整備売上区分） / DT_KOSIN（データ更新日時） ほか2項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_TENPO（店舗コード） / NO_YOYAKUID（予約ＩＤ） / NO_YOYAKUED（予約枝番）,CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号）,NO_SAGJUCYU（作業側受注ＮＯ）,KB_HSYOURI（保証売上区分） / KB_IVTSBURA（イベント整備売上区分）,未確認（Power BI・既存帳票の参照有無を確認）,第2段階候補（対象範囲次第）,業務事実/属性データ候補（正式値の参照先は未確認）,追記型候補（実データで再送・上書き有無を確認）,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,第2段階の業務効率/継続収益マート,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,第2段階対象か確認。Hueで予約→入庫→作業の接続率、取消/削除フラグ、実績日時の品質を確認
TBSA006G,ストール予約明細履歴ＤＢ,サービス予約明細履歴,予約明細→入庫実績,主要関連カラム: CD_TEITENSB（定点整備コード） / KB_NYUUKO（入庫区分） / DT_NYUKJISK（入庫実績日時） / DT_KOSIN（データ更新日時） / CD_KSNSYA（更新ユーザＩＤ） / CD_KSNKINO（更新アプリＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_TENPO（店舗コード） / NO_YOYAKUID（予約ＩＤ） / CD_YOYKMSAI（予約明細ＩＤ） / NO_MSAIEDBN（明細枝番）,該当カラム未確認,該当カラム未確認,該当カラム未確認,未確認（Power BI・既存帳票の参照有無を確認）,第2段階候補（対象範囲次第）,業務事実/属性データ候補（正式値の参照先は未確認）,追記型候補（実データで再送・上書き有無を確認）,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,第2段階の業務効率/継続収益マート,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,第2段階対象か確認。Hueで予約→入庫→作業の接続率、取消/削除フラグ、実績日時の品質を確認
TBSA009G,ストール実績ＤＢ,ストール実績,作業場所/ストール実績,主要関連カラム: DT_KOSIN（データ更新日時） / CD_KSNSYA（更新ユーザＩＤ） / CD_KSNKINO（更新アプリＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_TENPO（店舗コード） / NO_YOYAKUID（予約ＩＤ） / CD_YOYKMSAI（予約明細ＩＤ） / NO_JISEKI（実績番号）,該当カラム未確認,該当カラム未確認,該当カラム未確認,未確認（Power BI・既存帳票の参照有無を確認）,第2段階候補（対象範囲次第）,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,第2段階の業務効率/継続収益マート,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,第2段階対象か確認。Hueで予約→入庫→作業の接続率、取消/削除フラグ、実績日時の品質を確認
TBSA013G,エンジニア作業明細ＤＢ,エンジニア作業実績,エンジニア作業実績,主要関連カラム: DT_KOSIN（データ更新日時） / CD_KSNSYA（更新ユーザＩＤ） / CD_KSNKINO（更新アプリＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_TENPO（店舗コード） / NO_YOYAKUID（予約ＩＤ） / CD_YOYKMSAI（予約明細ＩＤ） / CD_SYAIN（社員コード） / NO_ENJISEKI（エンジニア実績番号）,該当カラム未確認,該当カラム未確認,該当カラム未確認,未確認（Power BI・既存帳票の参照有無を確認）,第2段階候補（対象範囲次第）,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,第2段階の業務効率/継続収益マート,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,サービス・整備業務担当＋帳票担当＋AI21/インフラ担当,第2段階対象か確認。Hueで予約→入庫→作業の接続率、取消/削除フラグ、実績日時の品質を確認
